Material: Si28 , density =  2.320000 g/cm^3
Absorber is made of 1 elements
Si28 100% z =   14, a = 28.086000
Z =  1, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  2, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  3, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  4, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  5, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  6, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  7, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  8, num = 113
    0.100031       5.846        0.05608       0.450313      0.0460294       0.056939
    0.106283        5.99        0.05351       0.468882      0.0463776       0.057705
    0.112535       6.119        0.05118       0.485131      0.0467258      0.0584246
    0.125039        6.34        0.04713       0.515306      0.0474453      0.0597477
    0.140669       6.558        0.04296       0.554767      0.0483042      0.0611868
    0.156299       6.725        0.03952       0.591906       0.049047      0.0624867
    0.171929       6.852        0.03663       0.626724      0.0497665      0.0636705
    0.187559       6.948        0.03417       0.663863      0.0504165      0.0647615
    0.203188        7.02        0.03204       0.698681        0.05102      0.0657828
    0.218818       7.073        0.03019       0.733499      0.0516003      0.0667345
    0.234448       7.111        0.02855       0.768317      0.0521574      0.0676398
    0.250078       7.137        0.02709       0.803135      0.0526912      0.0684986
    0.281338       7.163        0.02461       0.872771      0.0541536      0.0701467
    0.312598       7.165        0.02258       0.942407      0.0555463      0.0716554
    0.343857       7.152        0.02088        1.01204      0.0568694      0.0730946
    0.375117        7.13        0.01944        1.08168      0.0581693      0.0744873
    0.406377       7.101        0.01819        1.15132      0.0594459      0.0758104
    0.437637       7.069        0.01711        1.22095      0.0606762      0.0770871
    0.500156           7        0.01531        1.36254      0.0646686      0.0795475
    0.562676       6.928        0.01387        1.50646      0.0684522      0.0819151
    0.625195       6.857         0.0127        1.65037      0.0720965      0.0842131
    0.687715       6.788        0.01172        1.79661      0.0756247      0.0864647
    0.750234       6.721        0.01089        1.94284      0.0790601      0.0886466
    0.812754       6.655        0.01018        2.09372      0.0824026      0.0908053
    0.875274       6.591       0.009558        2.24228      0.0856755      0.0929408
    0.937793       6.529       0.009014        2.39548      0.0888787      0.0950531
     1.00031       6.468       0.008533        2.54868      0.0920124      0.0971422
     1.06283       6.408       0.008103         2.7042      0.0951228      0.0992313
     1.12535       6.349       0.007717        2.85972      0.0981635       0.101297
     1.25039       6.234       0.007052        3.17772       0.108864       0.105406
     1.40669       6.094       0.006374        3.58161       0.124068       0.110512
     1.56299       5.958       0.005822        3.99711       0.138181       0.115619
     1.71929       5.825       0.005363        4.41956       0.151574       0.120726
     1.87559       5.695       0.004975        4.85363       0.164411       0.125855
     2.03188       5.571       0.004642        5.29698       0.176829       0.131032
     2.18818        5.44       0.004353        5.74961       0.188969       0.136231
     2.34448       5.284         0.0041        6.21617       0.200993         0.1415
     2.50078       5.139       0.003876        6.69666        0.21297       0.146862
     2.81338        4.89       0.003499        7.69246       0.257653       0.157888
     3.12598        4.66       0.003191        8.73932       0.297114       0.169262
     3.43857       4.447       0.002936        9.83725       0.336574       0.181054
     3.75117        4.25       0.002721        10.9862       0.376034       0.193286
     4.06377       4.067       0.002536        12.1863       0.413174        0.20596
     4.37637       3.898       0.002376        13.4421       0.452634       0.219098
     5.00156       3.595       0.002113        16.1114       0.591906       0.246047
     5.62676       3.334       0.001905         18.999       0.721893       0.276223
     6.25195       3.107       0.001735        22.1048       0.847238        0.30872
     6.87715       2.909       0.001595        25.4311       0.972583       0.341216
     7.50234       2.735       0.001477        28.9755        1.09561       0.378356
     8.12754       2.582       0.001376        32.7359        1.22095       0.415495
     8.75274       2.446       0.001288        36.7144        1.34862       0.454955
     9.37793       2.325       0.001211        40.9065        1.47628       0.496737
     10.0031       2.216       0.001144        45.3098        1.60627        0.54084
     10.6283       2.118       0.001084        49.9244        1.73858       0.587264
     11.2535        2.03        0.00103        54.7432        1.87089       0.636009
     12.5039       1.877      0.0009374        64.9866        2.37227        0.73582
     14.0669        1.72      0.0008438        78.8953        3.09184       0.872771
     15.6299       1.591      0.0007679        94.0063        3.76731        1.02133
     17.1929       1.483       0.000705         110.28        4.42421        1.18149
     18.7559        1.39      0.0006521        127.692        5.07414        1.34862
     20.3188       1.309      0.0006069        146.224        5.72176        1.52735
     21.8818       1.236      0.0005678        165.875        6.37402        1.71769
     23.4448       1.171      0.0005336        186.648        7.03091        1.91499
     25.0078       1.111      0.0005035        208.562         7.6971         2.1239
     28.1338       1.003      0.0004528        255.332        10.2295        2.57421
     31.2598      0.9138      0.0004118         308.72        12.6459        3.06631
     34.3857      0.8476      0.0003778        364.428        15.0112        3.60018
     37.5117      0.7915      0.0003492        427.101        17.3463        4.17352
     40.6377      0.7432      0.0003248        492.094        19.6768        4.78167
     43.7637      0.7012      0.0003037        559.409        22.0143        5.42697
     50.0156      0.6316      0.0002691        710.287        30.6677        6.82433
     56.2676      0.5763      0.0002418        877.414        38.6712        8.35632
     62.5195      0.5312      0.0002198        1056.15         46.431         10.016
     68.7715      0.4937      0.0002015        1253.45        54.1049        11.7987
     75.0234       0.462      0.0001862        1462.36        61.7671        13.6997
     81.2754      0.4348      0.0001731        1685.19        69.4526        15.7168
     87.5274      0.4112      0.0001618        1921.95        77.1845        17.8431
     93.7793      0.3906      0.0001519        2170.32        84.9722        20.0784
     100.031      0.3725      0.0001432        2432.62        92.8225        22.4135
     106.283      0.3563      0.0001355        2706.52        100.733        24.8508
     112.535      0.3418      0.0001286        2994.35        108.706        27.3809
     125.039      0.3169      0.0001168         3602.5        138.822        32.7243
     140.669      0.2917      0.0001049        4424.21        181.395        39.8921
     156.299      0.2713      9.525e-05        5313.23        220.988        47.5614
     171.929      0.2545      8.728e-05        6264.92        259.974        55.6972
     187.559      0.2403      8.059e-05        7274.64        297.114        64.2624
     203.188      0.2283      7.488e-05        8342.39        331.932        73.2269
     218.818      0.2179      6.996e-05        9463.53        369.071        82.5628
     234.448      0.2089      6.566e-05        10633.4        403.889        92.2398
     250.078      0.2009      6.188e-05        11854.4        441.028        102.235
     281.338      0.1877      5.553e-05        14428.6        573.336        123.098
     312.598       0.177       5.04e-05        17172.2        691.718        144.982
     343.857      0.1683      4.616e-05        20069.1        805.456        167.742
     375.117       0.161      4.261e-05        23107.5        912.232        191.251
     406.377      0.1549      3.957e-05        26271.3        1019.01        215.407
     437.637      0.1497      3.696e-05        29553.5        1118.82        239.084
     500.156      0.1413      3.267e-05        36431.2        1485.57         290.15
     562.676      0.1349       2.93e-05        43675.7        1805.89        343.538
     625.195      0.1298      2.658e-05        51233.5        2098.36        396.925
     687.715      0.1257      2.434e-05        59060.6        2374.59        450.313
     750.234      0.1225      2.246e-05        67117.5        2634.56          503.7
     812.754      0.1198      2.085e-05          75374        2882.93        557.088
     875.274      0.1175      1.947e-05        83804.6        3122.01        610.476
     937.793      0.1156      1.826e-05        92381.4        3351.81        666.184
     1000.31       0.114       1.72e-05         101091        3572.33        719.572
     1062.83      0.1127      1.626e-05         109911        3783.56        770.638
     1125.35      0.1115      1.542e-05         118832        3990.14        824.026
     1250.39      0.1097      1.398e-05         136911        4742.21         928.48
     1406.69      0.1081      1.254e-05         159873        5749.61        1056.15
     1562.99      0.1069      1.137e-05         183129        6627.03        1179.17
     1719.29      0.1062       1.04e-05         206591        7413.91        1297.55
     1875.59      0.1056      9.593e-06         230193        8133.48        1415.93
        2000      0.1054      9.037e-06         248368        8560.59        1504.14
Z =   9, num = 113
    0.105272       6.707        0.06786       0.489773      0.0485595      0.0598173
    0.118431       7.033        0.06191       0.526912      0.0493951      0.0612797
     0.13159       7.304        0.05701       0.559409      0.0501379      0.0626028
    0.144749       7.529        0.05289       0.594227      0.0507879      0.0637634
    0.157908       7.715        0.04937       0.626724      0.0513914      0.0648311
    0.171067       7.867        0.04632         0.6569      0.0519252      0.0658292
    0.184226        7.99        0.04366       0.689396      0.0524359      0.0667345
    0.197385        8.09        0.04131       0.719572      0.0529234      0.0675933
    0.210544       8.169        0.03922       0.749748      0.0533876      0.0684058
    0.236862        8.28        0.03567       0.810099      0.0545714      0.0698913
     0.26318       8.342        0.03274        0.87045      0.0556856      0.0712841
    0.289498       8.371         0.0303        0.92848      0.0567533      0.0725607
    0.315816       8.375        0.02822       0.988831      0.0577747      0.0737909
    0.342134       8.363        0.02642        1.04686      0.0587496      0.0749515
    0.368452        8.34        0.02486        1.10721      0.0597245      0.0760657
    0.421088       8.273        0.02226        1.22791       0.062742       0.078178
    0.473724       8.192        0.02019        1.34862      0.0656667      0.0801975
     0.52636       8.108        0.01849        1.46932      0.0684754      0.0821473
    0.578996       8.024        0.01707        1.59466      0.0712144      0.0840274
    0.631632       7.943        0.01587        1.71769       0.073907      0.0858612
    0.684268       7.866        0.01484        1.84535      0.0765532      0.0876717
    0.736904       7.794        0.01394         1.9707      0.0791297      0.0894358
     0.78954       7.725        0.01315        2.10069       0.081683      0.0911999
    0.842176       7.661        0.01245        2.23067      0.0841899      0.0929408
    0.894812         7.6        0.01183        2.36066      0.0866504      0.0946585
    0.947448       7.542        0.01127        2.49297      0.0890877       0.096353
     1.05272       7.434         0.0103        2.75991        0.09756      0.0997188
     1.18431        7.31       0.009317        3.09648        0.10963       0.103897
      1.3159       7.195       0.008513        3.44234       0.120818       0.108029
     1.44749       7.087       0.007845        3.79052       0.131357       0.112137
     1.57908       6.983       0.007279        4.14566       0.141408       0.116222
     1.71067       6.882       0.006794        4.50545       0.151064       0.120308
     1.84226       6.784       0.006373        4.86988       0.160372        0.12437
     1.97385       6.687       0.006005        5.24127       0.169448       0.128455
     2.10544       6.594       0.005678         5.6173       0.178291       0.132517
     2.36862       6.344       0.005127        6.39026       0.210347       0.140734
      2.6318       6.121       0.004678        7.19108       0.239084       0.149067
     2.89498       5.916       0.004305        8.02207       0.269259        0.15754
     3.15816        5.72       0.003991        8.88091       0.294792       0.166175
     3.42134       5.531       0.003721        9.76761       0.322647       0.174995
     3.68452       5.351       0.003487        10.6868        0.34818       0.184002
     4.21088       5.014       0.003102        12.6157        0.44567       0.202687
     4.73724       4.707       0.002797        14.6746       0.533876       0.222278
      5.2636       4.427       0.002549        16.8635        0.61976       0.243726
     5.78996       4.173       0.002344        19.1894       0.703324       0.264617
     6.31632       3.941        0.00217        21.6545       0.786887       0.287829
     6.84268       3.731       0.002022        24.2612        0.87045       0.311041
     7.36904        3.54       0.001894        27.0118       0.956334       0.336574
      7.8954       3.366       0.001781        29.9063        1.04222       0.362107
     8.42176       3.207       0.001682        32.9494        1.13042       0.389962
     8.94812       3.061       0.001594        36.1411        1.21863       0.420137
     9.47448       2.928       0.001515         39.479        1.30916       0.450313
     10.5272       2.694       0.001379        46.6004        1.65734       0.512985
     11.8431        2.45       0.001242        56.3286        2.16104       0.601191
      13.159        2.25       0.001131        66.9736         2.6392        0.69636
     14.4749       2.084       0.001038        78.5123        3.11041       0.798493
     15.7908       1.945      0.0009605         90.926        3.57697        0.90991
     17.1067       1.827       0.000894        104.187        4.04817        1.02829
     18.4226       1.725      0.0008366        118.265        4.51938        1.15364
     19.7385       1.637      0.0007864        133.137         4.9929        1.28594
     21.0544        1.56      0.0007421        148.777        5.46875        1.42522
     23.6862        1.43      0.0006675        182.249        7.25143        1.72233
      26.318       1.323      0.0006071        218.599        8.90412        2.04266
     28.9498        1.23      0.0005572        257.653        10.5081        2.38619
     31.5816       1.149      0.0005151        299.435        12.0935        2.75294
     34.2134       1.078      0.0004792        345.859        13.6812        3.14058
     36.8452       1.017      0.0004482        392.283        15.2781        3.55376
     42.1088      0.9154      0.0003972        496.737        21.2158        4.44278
     47.3724      0.8345       0.000357        610.476        26.7263           5.42
      52.636      0.7685      0.0003245         735.82        32.0813        6.47847
     57.8996      0.7135      0.0002976         870.45        37.3876        7.61586
     63.1632       0.667       0.000275        1014.36        42.6938        8.83217
     68.4268      0.6271      0.0002557        1169.88        48.0256        10.1228
     73.6904      0.5925       0.000239        1334.69        53.3969        11.4853
      78.954      0.5622      0.0002244        1506.46        58.8169        12.9198
     84.2176      0.5355      0.0002116        1689.83         64.288        14.4193
     89.4812      0.5116      0.0002003        1880.17        69.8101        15.9884
     94.7448      0.4903      0.0001901         2079.8        75.3833        17.6202
     105.272      0.4536      0.0001727        2504.57          96.49        21.0719
     118.431      0.4164      0.0001551        3080.23        126.401        25.7189
      131.59      0.3863      0.0001408        3702.31        154.304        30.7118
     144.749      0.3614      0.0001291        4370.82        181.216        36.0273
     157.908      0.3404      0.0001192        5083.43        207.585        41.6446
     171.067      0.3225      0.0001108        5837.82        234.441        47.5451
     184.226      0.3071      0.0001035        6633.99        259.974        53.7102
     197.385      0.2937      9.713e-05        7464.98        285.508        60.1237
     210.544      0.2819      9.155e-05        8335.43        311.041        66.7716
     236.862      0.2621      8.216e-05        10173.8         406.21        80.7151
      263.18      0.2461      7.458e-05        12142.2        492.094        95.4338
     289.498      0.2331      6.832e-05        14231.3        575.658        110.837
     315.816      0.2222      6.306e-05        16427.1        654.578         126.84
     342.134      0.2129      5.858e-05        18725.1        731.178        143.374
     368.452       0.205      5.472e-05        21118.3        805.456        160.376
     421.088      0.1922      4.838e-05        26157.6        1077.04         195.57
     473.724      0.1823       4.34e-05        31498.7        1316.12        232.032
      526.36      0.1745      3.937e-05        37104.4        1536.63        269.259
     578.996      0.1682      3.605e-05        42939.9        1745.54         308.72
     631.632      0.1631      3.327e-05        48977.3        1945.17        345.859
     684.268      0.1588      3.089e-05        55191.2         2135.5        385.319
     736.904      0.1552      2.885e-05        61560.5        2318.88         424.78
      789.54      0.1521      2.706e-05        68066.9        2495.29         464.24
     842.176      0.1495      2.549e-05        74696.2        2667.06          503.7
     894.812      0.1473       2.41e-05        81432.3        2831.86        543.161
     947.448      0.1454      2.286e-05        88263.6        2994.35          580.3
     1052.72      0.1423      2.073e-05         102172        3583.93        659.221
     1184.31      0.1393      1.858e-05         119927        4377.78         754.39
      1315.9      0.1372      1.685e-05         138002        5071.82        847.238
     1447.49      0.1357      1.542e-05         156319        5696.22        940.086
     1579.08      0.1346      1.422e-05         174817        6271.88        1028.29
     1710.67      0.1338       1.32e-05         193446        6803.44         1116.5
     1842.26      0.1332      1.232e-05         212174         7302.5        1202.38
     1973.85      0.1328      1.156e-05         230969         7773.7        1283.62
     2000.17      0.1327      1.142e-05         234441        7792.27        1299.87
Z =  10, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  11, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  12, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  13, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  14, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  15, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  16, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  17, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  18, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  19, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  20, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  21, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  22, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  23, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  24, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  25, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  26, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  27, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  28, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  29, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  30, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  31, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  32, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  33, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  34, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  35, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  36, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  37, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  38, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  39, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  40, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  41, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  42, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  43, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  44, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  45, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  46, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  47, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  48, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  49, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  50, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  51, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  52, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  53, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  54, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  55, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  56, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  57, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  58, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  59, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  60, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  61, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  62, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  63, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  64, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  65, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  66, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  67, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  68, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  69, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  70, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  71, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  72, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  73, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  74, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  75, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  76, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  77, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  78, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  79, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  80, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  81, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  82, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  83, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  84, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  85, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  86, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  87, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  88, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  89, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  90, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  91, num = 1
    0.             0. 		0.	      0.	    0.              0.
Z =  92, num = 1
    0.             0. 		0.	      0.	    0.              0.
